DATE,ID,ANVIL,HAMMER,FRAGMENTATION,WEIGHT,LENGTH,WIDTH,THICKNESS,FRAGMENTATION1,WEIGHT1,LENGTH1,WIDTH1,THICKNESS1,FRAGMENTATION2,WEIGHT2,LENGTH2,WIDTH2,THICKNESS2,ALMENDRAS,SHELLS,HCRABS,COCO,RESIDUE,SITE TYPE,SITE LOCATION,COMMENTS
7/28/17,09-WATERFALL,stone,,,1213,,,,,,,,,,,,,,,,,,,,,
7/28/17,10-DISCOVERY SITE,stone,,,610,,,,,,,,,,,,,,,,,,,,,
7/28/17,11-LOG STREAM,wood,,,652,,,,,,,,,,,,,,,,,,,,,
1/6/18,060118T21,,,,1442,,,,,,,,,,,,,,,,,,,,,
1/6/18,060118CEBUS15-WATERFALL,,,,869,,,,,,,,,,,,,,,,,,,,,
1/6/18,060118T07,,,,1204,,,,,,,,,,,,,,,,,,,,,
1/6/18,060118CEBUS16-01,stone,,,291,,,,,,,,,,,,,,,,,,,,,
1/6/18,060118CEBUS7-02log,wood,,,224,,,,,,,,,,,,,,,,,,,,,
1/6/18,060118CEBUS7-02logB,wood,,,490,,,,,,,,,,,,,,,,,,,,,
1/6/18,060118T03,,,,89,,,,,,,,,,,,,,,,,,,,,10g small; 79g large
1/5/18,050118T03,,,,587,,,,,,,,,,,,,,,,,,,,,
1/5/18,050118T02,,,,311,,,,,,,,,,,,,,,,,,,,,
1/6/18,060118T10,,,,916,,,,,,,,,,,,,,,,,,,,,
1/6/18,060118T26,stone,,,1202,,,,,,,,,,,,,,,,,,,,,also q1 in phot; lso CEBUS-17 camera on stream
1/6/18,060118T13,,,,989,,,,,,,,,,,,,,,,,,,,,also Q2 in photo/2nd 23 not in bag changed to 14
